Delivery,Year,State,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12
All,2018,Sokoto,0.004277,0.00957,0.015019,0.01606,0.014385,0.010611,0.012259,0.0133,0.014756,0.016527,0.017845,0.019984
All,2018,Zamfara,0,0.00154,0.013925,0.017239,0.020977,0.020977,0.022708,0.022708,0.024018,0.025197,0.025197,0.030181
All,2018,Katsina,0.006393,0.013073,0.016238,0.02948,0.02548,0.030723,0.037215,0.037662,0.038659,0.04075,0.042658,0.045717
All,2018,Jigawa,0.005859,0.016594,0.028518,0.033129,0.034829,0.039125,0.037425,0.040922,0.042085,0.043557,0.045286,0.046462
All,2018,Kano,0.003419,0.027319,0.038583,0.040249,0.040088,0.044417,0.050726,0.053622,0.053257,0.051908,0.050769,0.048656
All,2018,Kaduna,0.024893,0.044752,0.075317,0.095568,0.100619,0.114871,0.12796,0.128857,0.125442,0.124439,0.129739,0.137541
All,2018,Kebbi,0.021649,0.030097,0.031888,0.032215,0.03434,0.035243,0.036807,0.042671,0.041799,0.041575,0.043382,0.044603
All,2018,Oyo,0.044307,0.055069,0.06851,0.089218,0.09434,0.106594,0.150843,0.158871,0.168072,0.159587,0.156018,0.157525
All,2018,Osun,0.027267,0.034368,0.054291,0.092083,0.117793,0.141544,0.164146,0.164035,0.177102,0.18341,0.183994,0.19597
All,2018,Ekiti,0.029685,0.069484,0.085734,0.138027,0.151437,0.170998,0.190472,0.209232,0.233343,0.230513,0.230513,0.238111
All,2018,Ondo,0.018549,0.026028,0.050266,0.081055,0.099763,0.104554,0.112612,0.121142,0.116029,0.114307,0.131024,0.157668
All,2018,Lagos,0.223907,0.272882,0.317648,0.358241,0.368999,0.390557,0.398744,0.412955,0.400572,0.41133,0.412835,0.412423
All,2018,Ogun,0.018862,0.050578,0.095889,0.107606,0.112791,0.133055,0.150171,0.154661,0.161288,0.161288,0.165893,0.164574
All,2013,Sokoto,0.003473,0.003473,0.00565,0.006919,0.009096,0.009096,0.013565,0.013565,0.013565,0.013565,0.013565,0.013565
All,2013,Zamfara,0.001404,0.002232,0.002232,0.003892,0.003892,0.003892,0.005548,0.005548,0.006376,0.009422,0.009422,0.009422
All,2013,Katsina,0.004749,0.008459,0.008459,0.008459,0.008459,0.008459,0.009448,0.009448,0.011328,0.011328,0.011328,0.011328
All,2013,Jigawa,0.008466,0.012489,0.012489,0.014016,0.011854,0.011854,0.00778,0.006935,0.006935,0.006935,0.008462,0.006935
All,2013,Kano,0,0.001526,0.003048,0.003048,0.004297,0.004297,0.004297,0.004297,0.004995,0.004995,0.004903,0.004903
All,2013,Kaduna,0.019403,0.020153,0.034565,0.074207,0.109677,0.126986,0.15756,0.176075,0.187625,0.190248,0.199568,0.211954
All,2013,Kebbi,0.00366,0.013334,0.014757,0.014757,0.014757,0.016181,0.019855,0.019855,0.019855,0.019855,0.019855,0.019855
All,2013,Oyo,0.150713,0.165166,0.181003,0.202588,0.218135,0.221466,0.184003,0.201221,0.206399,0.215248,0.224957,0.224957
All,2013,Osun,0.011796,0.033787,0.061488,0.083437,0.124924,0.140101,0.175641,0.191584,0.219611,0.242563,0.252422,0.265464
All,2013,Ekiti,0.02433,0.035509,0.047595,0.071704,0.089772,0.111125,0.125029,0.133224,0.130648,0.132523,0.139764,0.168464
All,2013,Ondo,0.017688,0.0291,0.041555,0.059737,0.063966,0.074349,0.087299,0.099742,0.120887,0.131024,0.14305,0.163896
All,2013,Lagos,0.085575,0.103749,0.135968,0.190424,0.220365,0.248602,0.255878,0.281453,0.295278,0.305687,0.299117,0.311983
All,2013,Ogun,0.012093,0.074881,0.098813,0.117032,0.130748,0.134278,0.151629,0.157835,0.162328,0.171098,0.179868,0.185186
Facility,2018,Sokoto,0.034881,0.091878,0.114345,0.128302,0.105835,0.105835,0.105835,0.119791,0.139308,0.163059,0.180728,0.180728
Facility,2018,Zamfara,0,0,0.083612,0.102682,0.102682,0.102682,0.102682,0.102682,0.102682,0.11625,0.11625,0.193512
Facility,2018,Katsina,0.029329,0.041332,0.050983,0.062986,0.062986,0.074989,0.095459,0.095459,0.108654,0.108654,0.126885,0.138888
Facility,2018,Jigawa,0.027724,0.057895,0.088912,0.103718,0.103718,0.103718,0.103718,0.103718,0.103243,0.103243,0.111427,0.118747
Facility,2018,Kano,0.016599,0.090236,0.11694,0.12503,0.119547,0.140564,0.151696,0.154111,0.145576,0.139027,0.133335,0.121916
Facility,2018,Kaduna,0.050128,0.0918,0.159275,0.200725,0.213392,0.244009,0.274169,0.285111,0.281545,0.281545,0.281545,0.292121
Facility,2018,Kebbi,0.180702,0.201728,0.139234,0.091939,0.096804,0.096804,0.108336,0.13874,0.127208,0.13789,0.126357,0.126357
Facility,2018,Oyo,0.046688,0.057946,0.075205,0.099234,0.112727,0.121547,0.167378,0.173546,0.18536,0.174465,0.174023,0.175957
Facility,2018,Osun,0.028672,0.03296,0.045213,0.084953,0.111988,0.136964,0.16073,0.160614,0.174354,0.180987,0.181601,0.190346
Facility,2018,Ekiti,0.03383,0.06745,0.089358,0.147458,0.162155,0.177046,0.19831,0.223603,0.241979,0.238164,0.238164,0.244835
Facility,2018,Ondo,0.021353,0.0269,0.05174,0.087184,0.106824,0.11234,0.121617,0.131436,0.123536,0.121554,0.140799,0.169575
Facility,2018,Lagos,0.238966,0.270348,0.310454,0.351688,0.36213,0.38527,0.393138,0.410157,0.413629,0.426513,0.423424,0.425373
Facility,2018,Ogun,0.020341,0.045975,0.087623,0.102034,0.108412,0.133336,0.154389,0.157166,0.165317,0.165317,0.17098,0.169359
Home,2018,Sokoto,0.001811,0.002936,0.007014,0.007014,0.007014,0.002936,0.004717,0.004717,0.004717,0.004717,0.004717,0.007029
Home,2018,Zamfara,0,0.001687,0.007293,0.009108,0.013201,0.013201,0.015097,0.015097,0.016532,0.016532,0.016532,0.014636
Home,2018,Katsina,0.001652,0.007231,0.009056,0.022554,0.017727,0.021572,0.025175,0.025715,0.024191,0.026713,0.025247,0.026457
Home,2018,Jigawa,0,0.005526,0.012333,0.014212,0.016368,0.021816,0.01966,0.024094,0.025696,0.027562,0.027562,0.027091
Home,2018,Kano,0,0.011,0.018259,0.018259,0.019479,0.019479,0.024538,0.027558,0.029312,0.029312,0.029354,0.029654
Home,2018,Kaduna,0.01822,0.032311,0.053117,0.067763,0.070799,0.080724,0.089299,0.08754,0.084164,0.082896,0.089597,0.096667
Home,2018,Kebbi,0.005278,0.012431,0.02084,0.026067,0.027911,0.028907,0.029445,0.032783,0.033008,0.031661,0.034842,0.036189
Home,2018,Oyo,0.035929,0.044943,0.044943,0.053956,0.029612,0.053956,0.092636,0.107212,0.107212,0.107212,0.092636,0.092636
Home,2018,Osun,0,0.061683,0.230413,0.230413,0.230413,0.230413,0.230413,0.230413,0.230413,0.230413,0.230413,0.305082
Home,2018,Ekiti,0.017784,0.075324,0.075324,0.110942,0.120659,0.153631,0.167963,0.167963,0.208543,0.208543,0.208543,0.218805
Home,2018,Ondo,0,0.020259,0.040518,0.040518,0.053064,0.053064,0.053064,0.053064,0.066385,0.066385,0.066385,0.078931
Home,2018,Lagos,0.147709,0.285705,0.354052,0.391403,0.403759,0.417312,0.427108,0.427108,0.334505,0.334505,0.359256,0.346899
Home,2018,Ogun,0.012432,0.070595,0.131832,0.131832,0.131832,0.131832,0.131832,0.14377,0.14377,0.14377,0.14377,0.14377
Facility,2013,Sokoto,0,0,0,0,0.041293,0.041293,0.089459,0.089459,0.089459,0.089459,0.089459,0.089459
Facility,2013,Zamfara,0,0.019366,0.019366,0.019366,0.019366,0.019366,0.058099,0.058099,0.058099,0.058099,0.058099,0.058099
Facility,2013,Katsina,0.054293,0.075787,0.075787,0.075787,0.075787,0.075787,0.075787,0.075787,0.097281,0.097281,0.097281,0.097281
Facility,2013,Jigawa,0.039959,0.039959,0.039959,0.039959,0.039959,0.039959,0.015285,0.015285,0.015285,0.015285,0.015285,0.015285
Facility,2013,Kano,0,0.012108,0.018005,0.018005,0.027916,0.027916,0.027916,0.027916,0.027916,0.027916,0.032722,0.032722
Facility,2013,Kaduna,0.017224,0.019397,0.061158,0.152429,0.223323,0.255696,0.337259,0.386879,0.404023,0.411622,0.43158,0.448724
Facility,2013,Kebbi,0.023957,0.117004,0.117004,0.117004,0.117004,0.130699,0.153328,0.153328,0.153328,0.153328,0.153328,0.153328
Facility,2013,Oyo,0.171147,0.190266,0.205913,0.232049,0.249927,0.254333,0.227665,0.247652,0.251943,0.263648,0.27104,0.27104
Facility,2013,Osun,0.013144,0.037648,0.068515,0.092973,0.125415,0.142327,0.174179,0.189688,0.220918,0.246493,0.257478,0.272011
Facility,2013,Ekiti,0.027989,0.040848,0.048373,0.076107,0.096892,0.121456,0.132088,0.141516,0.135138,0.137295,0.145624,0.1749
Facility,2013,Ondo,0.02614,0.037739,0.037739,0.061139,0.061139,0.071076,0.098824,0.125754,0.150119,0.153074,0.165439,0.187502
Facility,2013,Lagos,0.08152,0.102244,0.142001,0.204968,0.223566,0.247428,0.252331,0.280208,0.291989,0.304042,0.291784,0.306415
Facility,2013,Ogun,0.01582,0.087668,0.107504,0.122389,0.140332,0.14495,0.160882,0.160882,0.160882,0.165589,0.170295,0.170295
Home,2013,Sokoto,0.003666,0.003666,0.005964,0.007305,0.007305,0.007305,0.009342,0.009342,0.009342,0.009342,0.009342,0.009342
Home,2013,Zamfara,0.001466,0.001466,0.001466,0.003201,0.003201,0.003201,0.003201,0.003201,0.004066,0.007248,0.007248,0.007248
Home,2013,Katsina,0,0.002006,0.002006,0.002006,0.002006,0.002006,0.003089,0.003089,0.003089,0.003089,0.003089,0.003089
Home,2013,Jigawa,0.005827,0.010187,0.010187,0.011842,0.009498,0.009498,0.007151,0.006235,0.006235,0.006235,0.00789,0.006235
Home,2013,Kano,0,0,0.00089,0.00089,0.00089,0.00089,0.00089,0.00089,0.001689,0.001689,0.00089,0.00089
Home,2013,Kaduna,0.020552,0.020552,0.020552,0.032987,0.049791,0.059161,0.062866,0.064989,0.073592,0.073592,0.077307,0.087186
Home,2013,Kebbi,0.001305,0.001305,0.002894,0.002894,0.002894,0.002894,0.004369,0.004369,0.004369,0.004369,0.004369,0.004369
Home,2013,Oyo,0.087403,0.087403,0.103826,0.111313,0.119636,0.119636,0.048732,0.057369,0.065296,0.065296,0.082182,0.082182
Home,2013,Osun,0,0,0,0,0.120627,0.120627,0.188435,0.208178,0.208178,0.208178,0.208178,0.208178
Home,2013,Ekiti,0,0,0.042421,0.042421,0.042421,0.042421,0.078079,0.078079,0.100786,0.100786,0.100786,0.125662
Home,2013,Ondo,0.00395,0.015057,0.047757,0.057457,0.068563,0.079669,0.068563,0.057457,0.073368,0.09518,0.106655,0.125523
Home,2013,Lagos,0.099169,0.108794,0.115741,0.141664,0.209631,0.252539,0.26777,0.285626,0.306306,0.311201,0.323705,0.330652
Home,2013,Ogun,0,0.033391,0.070616,0.099652,0.099652,0.099652,0.121606,0.147949,0.167018,0.188972,0.210926,0.2335
